time,gFx,gFy,gFz,TgF
0.009887812,-0.0097,0.7011,0.7369,1.017
0.010982864,-0.0095,0.6997,0.7384,1.017
0.011731666,-0.0083,0.7014,0.7396,1.019
0.01239151,-0.0065,0.7001,0.7413,1.020
0.013115677,-0.0087,0.7009,0.7418,1.021
0.013750104,-0.0075,0.7011,0.7410,1.020
0.014242969,-0.0085,0.7019,0.7410,1.021
0.014730364,-0.0083,0.7036,0.7420,1.023
0.015207344,-0.0065,0.7050,0.7420,1.024
0.016999427,-0.0080,0.7041,0.7415,1.023
0.017371719,-0.0080,0.7045,0.7447,1.025
0.017701927,-0.0078,0.7055,0.7410,1.023
0.018044271,-0.0063,0.7055,0.7403,1.023
0.018379948,-0.0080,0.7075,0.7386,1.023
0.018713073,-0.0065,0.7053,0.7357,1.019
0.019068958,-0.0065,0.7041,0.7345,1.017
0.019453906,-0.0053,0.7060,0.7305,1.016
0.019784791,-0.0065,0.7050,0.7274,1.013
0.020141041,-0.0051,0.7043,0.7254,1.011
0.027730156,-0.0061,0.7050,0.7227,1.010
0.028496041,-0.0036,0.7038,0.7195,1.007
0.028836094,-0.0029,0.7036,0.7193,1.006
0.029253125,-0.0043,0.7041,0.7186,1.006
0.030946666,-0.0043,0.7041,0.7183,1.006
0.037747135,-0.0053,0.7028,0.7181,1.005
0.0384925,-0.0048,0.7023,0.7200,1.006
0.038869427,-0.0051,0.7038,0.7200,1.007
0.041090469,-0.0070,0.7045,0.7217,1.009
0.044156354,-0.0070,0.7055,0.7217,1.009
0.047182656,-0.0051,0.7048,0.7242,1.011
0.049152239,-0.0075,0.7070,0.7257,1.013
0.053120156,-0.0083,0.7085,0.7276,1.016
0.053409791,-0.0095,0.7087,0.7279,1.016
0.056298385,-0.0097,0.7092,0.7288,1.017
0.058411354,-0.0107,0.7089,0.7298,1.018
0.061389219,-0.0112,0.7070,0.7310,1.017
0.063244219,-0.0097,0.7099,0.7325,1.020
0.0665725,-0.0085,0.7085,0.7327,1.019
0.068667344,-0.0083,0.7077,0.7335,1.019
0.071163958,-0.0087,0.7104,0.7347,1.022
0.073765729,-0.0078,0.7099,0.7349,1.022
0.076674219,-0.0095,0.7092,0.7345,1.021
0.078992812,-0.0100,0.7075,0.7342,1.020
0.081136666,-0.0107,0.7072,0.7325,1.018
0.083796719,-0.0112,0.7060,0.7342,1.019
0.085866041,-0.0131,0.7041,0.7349,1.018
0.088472083,-0.0151,0.7048,0.7330,1.017
0.091374323,-0.0139,0.7055,0.7313,1.016
0.093087552,-0.0153,0.7055,0.7298,1.015
0.096414271,-0.0175,0.7053,0.7303,1.015
0.098998854,-0.0175,0.7041,0.7308,1.015
0.103234323,-0.0183,0.7043,0.7296,1.014
0.103838281,-0.0168,0.7060,0.7288,1.015
0.105925625,-0.0170,0.7028,0.7274,1.012
0.108683177,-0.0156,0.7060,0.7242,1.012
0.111222656,-0.0161,0.7099,0.7249,1.015
0.112695416,-0.0131,0.7082,0.7195,1.010
0.115658541,-0.0139,0.7097,0.7208,1.012
0.11964125,-0.0141,0.7085,0.7203,1.010
0.120381146,-0.0129,0.7126,0.7181,1.012
0.124400989,-0.0136,0.7109,0.7156,1.009
0.126651094,-0.0124,0.7126,0.7132,1.008
0.127909375,-0.0146,0.7121,0.7134,1.008
0.130287031,-0.0146,0.7126,0.7125,1.008
0.132779687,-0.0129,0.7138,0.7122,1.008
0.135882864,-0.0119,0.7155,0.7132,1.010
