time,gFx,gFy,gFz,TgF
0.004438,0.1654,1.0102,0.1445,1.034
0.004860,0.1664,1.0089,0.1398,1.032
0.005070,0.1652,1.0094,0.1393,1.032
0.005264,0.1647,1.0092,0.1389,1.032
0.005458,0.1659,1.0111,0.1403,1.034
0.012675,0.1664,1.0119,0.1396,1.035
0.013017,0.1642,1.0133,0.1413,1.036
0.013144,0.1640,1.0146,0.1423,1.038
0.014496,0.1640,1.0148,0.1413,1.038
0.016962,0.1647,1.0150,0.1423,1.038
0.019242,0.1650,1.0138,0.1413,1.037
0.030136,0.1637,1.0153,0.1384,1.038
0.030624,0.1645,1.0148,0.1384,1.037
0.030820,0.1630,1.0133,0.1374,1.036
0.030972,0.1598,1.0126,0.1369,1.034
0.031083,0.1598,1.0136,0.1352,1.035
0.034392,0.1618,1.0138,0.1335,1.035
0.036758,0.1596,1.0119,0.1318,1.033
0.039413,0.1608,1.0124,0.1298,1.033
0.041994,0.1601,1.0082,0.1313,1.029
0.043527,0.1598,1.0089,0.1296,1.030
0.047053,0.1606,1.0075,0.1286,1.028
0.049226,0.1591,1.0075,0.1284,1.028
0.051618,0.1584,1.0072,0.1284,1.028
0.054224,0.1586,1.0053,0.1301,1.026
0.056629,0.1566,1.0060,0.1315,1.027
0.059163,0.1562,1.0075,0.1303,1.028
0.061414,0.1535,1.0082,0.1313,1.028
0.063334,0.1557,1.0111,0.1293,1.031
0.066594,0.1540,1.0128,0.1310,1.033
0.068782,0.1552,1.0133,0.1296,1.033
0.080447,0.1613,1.0168,0.1303,1.038
0.080972,0.1608,1.0146,0.1323,1.036
0.081186,0.1591,1.0150,0.1315,1.036
0.081382,0.1584,1.0126,0.1335,1.034
0.081584,0.1566,1.0114,0.1347,1.032
0.083781,0.1559,1.0077,0.1328,1.028
0.086048,0.1532,1.0092,0.1313,1.029
0.089750,0.1542,1.0102,0.1296,1.030
0.091515,0.1549,1.0102,0.1308,1.030
0.093503,0.1559,1.0128,0.1308,1.033
0.095672,0.1625,1.0192,0.1320,1.040
0.098176,0.1654,1.0224,0.1308,1.044
0.100641,0.1691,1.0229,0.1349,1.045
0.103080,0.1742,1.0236,0.1335,1.047
0.107188,0.1799,1.0241,0.1364,1.049
0.107650,0.1801,1.0155,0.1381,1.041
