time,wx (rad/s),wy (rad/s),wz (rad/s)
0.005809,0.00,-0.06,0.05
0.006230,0.00,-0.06,0.06
0.006388,0.00,-0.06,0.06
0.006528,0.00,-0.06,0.07
0.006678,0.00,-0.06,0.07
0.006820,0.00,-0.07,0.07
0.006961,0.01,-0.08,0.07
0.010938,0.00,-0.07,0.07
0.011222,0.01,-0.07,0.07
0.014207,0.01,-0.07,0.07
0.015786,0.01,-0.07,0.07
0.018019,0.01,-0.07,0.08
0.025295,0.00,-0.07,0.07
0.025587,0.01,-0.07,0.07
0.026184,0.01,-0.07,0.07
0.028755,0.01,-0.07,0.07
0.030537,0.00,-0.07,0.07
0.032890,0.01,-0.07,0.08
0.038204,0.01,-0.07,0.08
0.038401,0.01,-0.07,0.08
0.040189,0.01,-0.06,0.08
0.045197,0.01,-0.06,0.09
0.045414,0.01,-0.06,0.09
0.049333,0.02,-0.06,0.10
0.053800,0.02,-0.06,0.10
0.053971,0.02,-0.05,0.11
0.054908,0.01,-0.05,0.11
0.057527,0.02,-0.05,0.11
0.063455,0.01,-0.04,0.11
0.063618,0.01,-0.04,0.12
0.065507,0.01,-0.04,0.12
0.067693,0.01,-0.04,0.12
0.071719,0.01,-0.04,0.12
0.074306,0.01,-0.05,0.12
0.075059,0.01,-0.04,0.13
0.077391,0.01,-0.04,0.13
0.079993,0.01,-0.04,0.13
0.082681,0.01,-0.04,0.13
0.085109,0.01,-0.05,0.13
0.088639,0.01,-0.05,0.14
0.090124,0.01,-0.05,0.14
0.092110,0.01,-0.05,0.14
0.094979,0.01,-0.05,0.15
0.098419,0.01,-0.05,0.15
0.099982,0.00,-0.05,0.15
0.101952,0.01,-0.05,0.16
0.104518,0.00,-0.05,0.17
0.106675,0.01,-0.05,0.17
0.110336,0.01,-0.05,0.18
0.112498,0.01,-0.04,0.18
0.114754,0.00,-0.04,0.19
0.117263,0.00,-0.04,0.20
0.120918,0.00,-0.04,0.20
0.123471,0.00,-0.04,0.21
0.124735,-0.00,-0.04,0.21
0.126378,0.00,-0.04,0.21
0.129945,-0.00,-0.04,0.22
0.133675,-0.00,-0.05,0.22
0.135301,-0.00,-0.05,0.23
0.137472,-0.00,-0.05,0.23
0.139380,-0.00,-0.05,0.24
0.141603,-0.00,-0.05,0.24
0.145344,-0.00,-0.05,0.25
0.148029,-0.00,-0.05,0.25
0.150221,-0.00,-0.05,0.26
0.151574,-0.00,-0.06,0.27
0.153685,0.00,-0.06,0.27
0.157525,0.00,-0.07,0.27
0.158931,0.00,-0.07,0.27
0.161417,-0.00,-0.07,0.27
0.162912,-0.00,-0.08,0.27
0.165449,-0.00,-0.08,0.28
0.180677,0.00,-0.08,0.28
0.181476,-0.00,-0.08,0.28
0.181827,0.00,-0.08,0.28
0.182137,0.00,-0.08,0.28
0.182555,0.01,-0.08,0.28
0.182863,0.00,-0.07,0.28
0.184029,0.00,-0.07,0.29
0.189020,0.01,-0.07,0.29
0.189355,0.01,-0.06,0.29
0.190156,0.01,-0.06,0.30
0.194657,0.00,-0.06,0.30
0.196215,0.00,-0.06,0.31
0.197440,0.00,-0.05,0.31
0.199907,0.00,-0.05,0.32
0.214130,0.00,-0.05,0.33
0.214720,0.01,-0.06,0.34
0.214902,0.01,-0.06,0.35
0.215052,0.00,-0.05,0.35
0.215199,0.00,-0.04,0.36
0.216440,0.01,-0.03,0.36
0.219298,0.00,-0.03,0.37
0.221396,0.01,-0.03,0.38
0.222064,0.00,-0.02,0.39
0.224872,0.00,-0.02,0.40
0.229248,0.01,-0.02,0.41
0.231751,0.01,-0.02,0.41
0.233064,0.00,-0.01,0.41
0.235148,0.00,-0.02,0.42
0.237225,-0.00,-0.02,0.41
0.241252,0.00,-0.03,0.41
0.244365,0.00,-0.03,0.41
0.244608,0.00,-0.03,0.41
0.247767,-0.00,-0.04,0.41
0.250432,-0.00,-0.04,0.42
0.254892,-0.00,-0.05,0.42
0.256679,-0.00,-0.05,0.43
0.256894,0.00,-0.05,0.43
0.259601,-0.01,-0.05,0.44
0.262612,-0.00,-0.06,0.45
0.266494,-0.00,-0.07,0.45
0.269310,0.00,-0.07,0.46
0.269546,0.00,-0.06,0.46
0.272824,0.01,-0.06,0.46
0.275072,0.01,-0.05,0.46
0.278453,0.02,-0.05,0.46
0.280509,0.02,-0.05,0.45
0.281779,0.03,-0.05,0.44
0.284738,0.03,-0.05,0.43
0.287148,0.04,-0.04,0.42
0.290562,0.04,-0.04,0.41
0.293625,0.04,-0.04,0.40
0.293870,0.05,-0.04,0.39
0.297500,0.05,-0.05,0.38
0.301397,0.05,-0.05,0.38
0.305991,0.06,-0.05,0.38
0.306411,0.07,-0.05,0.38
0.306655,0.06,-0.05,0.39
0.308916,0.07,-0.06,0.39
0.313312,0.06,-0.06,0.40
0.314893,0.07,-0.05,0.40
0.316672,0.07,-0.05,0.41
0.319269,0.07,-0.06,0.42
0.330828,0.07,-0.07,0.43
0.331374,0.08,-0.08,0.43
0.331533,0.08,-0.09,0.44
0.331686,0.08,-0.11,0.45
0.331848,0.08,-0.13,0.47
0.333500,0.08,-0.15,0.48
0.337427,0.09,-0.15,0.50
0.339962,0.08,-0.16,0.50
0.340801,0.08,-0.17,0.50
0.343879,0.08,-0.17,0.49
0.346102,0.07,-0.18,0.48
0.350299,0.07,-0.19,0.47
0.352927,0.07,-0.20,0.46
0.354594,0.07,-0.21,0.45
0.356315,0.07,-0.21,0.44
0.358658,0.08,-0.22,0.43
0.362693,0.07,-0.22,0.42
0.365413,0.08,-0.22,0.41
0.365609,0.08,-0.22,0.40
0.369269,0.09,-0.22,0.40
0.372052,0.08,-0.22,0.39
0.374815,0.09,-0.22,0.39
0.376954,0.09,-0.22,0.38
0.378840,0.09,-0.21,0.38
0.381221,0.09,-0.21,0.38
0.384361,0.09,-0.21,0.38
0.388129,0.10,-0.21,0.38
0.390114,0.09,-0.21,0.38
0.391152,0.10,-0.20,0.39
0.394009,0.10,-0.20,0.39
0.397730,0.10,-0.20,0.39
0.399931,0.10,-0.20,0.39
0.401280,0.11,-0.21,0.40
0.402704,0.10,-0.21,0.40
0.404855,0.11,-0.21,0.40
0.409484,0.11,-0.21,0.40
0.412527,0.11,-0.20,0.40
0.412795,0.11,-0.20,0.40
0.415843,0.12,-0.19,0.39
0.418189,0.12,-0.19,0.39
0.425589,0.13,-0.18,0.38
0.426121,0.13,-0.17,0.37
0.426287,0.14,-0.15,0.36
