time,gFx,gFy,gFz,TgF
0.003523,0.6968,0.0596,0.7288,1.010
0.003952,0.7004,0.0640,0.7274,1.012
0.004173,0.7041,0.0645,0.7286,1.015
0.004381,0.7026,0.0647,0.7264,1.013
0.004591,0.7039,0.0628,0.7274,1.014
0.004796,0.7036,0.0618,0.7244,1.012
0.006847,0.7056,0.0640,0.7254,1.014
0.012035,0.7053,0.0623,0.7249,1.013
0.012491,0.7048,0.0616,0.7235,1.012
0.012697,0.7034,0.0628,0.7244,1.012
0.018697,0.7041,0.0618,0.7247,1.012
0.018981,0.7061,0.0628,0.7249,1.014
0.020396,0.7051,0.0638,0.7266,1.015
0.022689,0.7073,0.0625,0.7259,1.015
0.025458,0.7039,0.0616,0.7215,1.010
0.028104,0.7048,0.0630,0.7249,1.013
0.030625,0.7029,0.0620,0.7254,1.012
0.033247,0.7029,0.0608,0.7237,1.011
0.035361,0.7068,0.0596,0.7274,1.016
0.038585,0.7012,0.0596,0.7242,1.010
0.040772,0.6987,0.0606,0.7232,1.007
0.043183,0.6970,0.0594,0.7271,1.009
0.045840,0.6990,0.0596,0.7281,1.011
0.047334,0.6985,0.0598,0.7293,1.012
0.050537,0.6970,0.0640,0.7276,1.010
0.052498,0.7002,0.0647,0.7310,1.014
0.055273,0.6990,0.0642,0.7293,1.012
0.058086,0.6987,0.0642,0.7288,1.012
0.060328,0.6995,0.0652,0.7293,1.013
0.062987,0.6985,0.0633,0.7315,1.013
0.064937,0.6946,0.0618,0.7315,1.011
0.068165,0.6943,0.0618,0.7305,1.010
0.069722,0.6917,0.0633,0.7308,1.008
0.072206,0.6921,0.0645,0.7335,1.011
0.075540,0.6931,0.0664,0.7325,1.011
0.077640,0.6936,0.0672,0.7313,1.010
0.080174,0.6951,0.0708,0.7310,1.011
0.083048,0.6953,0.0713,0.7283,1.009
0.084194,0.6953,0.0723,0.7281,1.009
0.087260,0.6958,0.0733,0.7271,1.009
0.090666,0.6970,0.0726,0.7276,1.010
0.092470,0.7000,0.0706,0.7259,1.011
0.094786,0.7004,0.0750,0.7279,1.013
0.099558,0.7002,0.0711,0.7293,1.014
0.099934,0.6997,0.0686,0.7274,1.012
0.101805,0.6997,0.0684,0.7298,1.013
0.105067,0.7000,0.0694,0.7323,1.015
0.107401,0.6995,0.0711,0.7325,1.015
0.109943,0.7024,0.0733,0.7318,1.017
0.111767,0.7002,0.0752,0.7305,1.015
0.116384,0.7002,0.0740,0.7303,1.014
0.116799,0.6992,0.0726,0.7320,1.015
0.118956,0.7026,0.0740,0.7296,1.016
0.121326,0.7009,0.0711,0.7303,1.015
0.123496,0.6997,0.0672,0.7296,1.013
0.125839,0.7017,0.0706,0.7298,1.015
0.128512,0.7012,0.0696,0.7308,1.015
0.139405,0.7024,0.0694,0.7293,1.015
0.140116,0.7017,0.0662,0.7266,1.012
0.140539,0.7017,0.0667,0.7279,1.013
0.141030,0.6980,0.0650,0.7281,1.011
0.141598,0.6990,0.0647,0.7274,1.011
0.143292,0.7017,0.0650,0.7271,1.013
0.145716,0.6990,0.0662,0.7296,1.013
0.149489,0.6995,0.0672,0.7281,1.012
0.151173,0.7019,0.0682,0.7279,1.013
0.153195,0.7014,0.0701,0.7274,1.013
0.156036,0.7019,0.0674,0.7288,1.014
0.158320,0.7024,0.0691,0.7318,1.017
0.162346,0.7048,0.0672,0.7303,1.017
0.163674,0.7039,0.0662,0.7303,1.016
0.166867,0.7044,0.0642,0.7301,1.016
0.168495,0.7024,0.0640,0.7308,1.016
0.170623,0.7007,0.0642,0.7320,1.015
0.173177,0.7012,0.0625,0.7330,1.016
0.175785,0.7002,0.0620,0.7335,1.016
0.178036,0.7012,0.0655,0.7337,1.017
0.182458,0.7004,0.0664,0.7318,1.015
0.183946,0.6985,0.0657,0.7318,1.014
0.185451,0.6968,0.0647,0.7305,1.012
0.188639,0.6968,0.0655,0.7318,1.013
0.190321,0.6941,0.0623,0.7279,1.008
0.192683,0.6934,0.0613,0.7315,1.010
0.195875,0.6963,0.0628,0.7323,1.012
0.198879,0.6982,0.0613,0.7301,1.012
0.203485,0.6958,0.0618,0.7318,1.012
0.203694,0.6980,0.0608,0.7308,1.012
0.206028,0.6975,0.0598,0.7298,1.011
0.208311,0.6975,0.0596,0.7303,1.012
0.211197,0.7002,0.0596,0.7313,1.014
0.212971,0.7007,0.0630,0.7291,1.013
0.216171,0.7019,0.0625,0.7296,1.014
0.217367,0.7024,0.0642,0.7286,1.014
0.220677,0.7026,0.0662,0.7301,1.015
0.223357,0.7031,0.0664,0.7296,1.015
0.225286,0.7026,0.0652,0.7301,1.015
0.228143,0.7048,0.0647,0.7291,1.016
0.230351,0.7061,0.0647,0.7293,1.017
0.232201,0.7048,0.0642,0.7298,1.017
0.235516,0.7088,0.0642,0.7301,1.020
0.237213,0.7083,0.0655,0.7315,1.020
0.240285,0.7102,0.0642,0.7323,1.022
0.242688,0.7083,0.0657,0.7318,1.021
0.245773,0.7100,0.0650,0.7301,1.020
0.249818,0.7090,0.0657,0.7296,1.019
0.250182,0.7080,0.0650,0.7281,1.018
0.252634,0.7063,0.0623,0.7264,1.015
0.254662,0.7044,0.0638,0.7261,1.014
0.257764,0.7024,0.0645,0.7266,1.013
0.260215,0.7012,0.0638,0.7249,1.011
0.262799,0.7000,0.0630,0.7247,1.009
0.271993,0.7002,0.0623,0.7254,1.010
0.272448,0.6985,0.0628,0.7252,1.009
0.272656,0.6975,0.0642,0.7232,1.007
0.272851,0.6970,0.0630,0.7244,1.007
0.275374,0.6973,0.0620,0.7227,1.006
0.277024,0.6963,0.0616,0.7230,1.006
0.279465,0.6956,0.0630,0.7210,1.004
0.285333,0.6960,0.0620,0.7225,1.005
0.285738,0.6960,0.0638,0.7247,1.007
0.286873,0.6970,0.0652,0.7237,1.007
0.289330,0.6970,0.0662,0.7237,1.007
0.291899,0.6990,0.0652,0.7247,1.009
0.293767,0.6995,0.0635,0.7266,1.011
0.297249,0.6995,0.0642,0.7257,1.010
0.299169,0.6990,0.0652,0.7283,1.012
