time,wx (rad/s),wy (rad/s),wz (rad/s)
0.008382,-0.00,0.00,-0.00
0.008760,-0.00,0.00,-0.00
0.008897,0.00,0.00,0.00
0.009030,0.00,0.01,-0.00
0.009161,-0.00,0.01,-0.00
0.009290,-0.00,0.01,-0.00
0.009420,0.00,0.01,-0.00
0.009589,-0.00,0.01,-0.00
0.009713,-0.00,0.01,-0.00
0.012881,0.00,0.01,-0.00
0.014281,-0.00,0.01,-0.00
0.016312,-0.00,0.01,-0.00
0.019798,0.00,0.00,-0.00
0.021422,0.00,0.00,-0.00
0.026874,0.00,0.00,-0.00
0.027113,0.00,0.00,-0.00
0.030455,0.00,0.00,-0.00
0.031793,0.00,0.00,-0.00
0.034005,0.00,0.00,-0.00
0.036635,0.00,0.00,-0.00
0.039326,0.00,0.00,-0.00
0.042734,0.00,0.00,-0.00
0.044229,0.00,0.00,-0.00
0.045982,0.01,0.00,-0.00
0.049284,0.00,0.00,-0.00
0.052771,0.00,-0.00,0.00
0.054811,0.00,-0.00,-0.00
0.059572,0.00,0.00,-0.00
0.059846,0.00,0.00,-0.00
0.060705,0.00,0.00,0.00
0.065259,0.00,0.00,0.00
0.068369,0.00,0.00,0.00
0.068768,0.01,0.00,0.00
0.070784,-0.00,0.00,-0.00
0.075314,0.00,0.00,0.00
0.077516,0.01,-0.00,-0.00
0.079782,0.00,-0.00,0.00
0.080596,0.01,-0.00,0.00
0.082864,0.00,-0.00,0.00
0.085848,0.00,-0.00,0.00
0.089343,0.01,-0.00,0.00
0.092255,0.01,-0.00,0.00
0.092512,0.00,-0.00,0.00
0.095298,-0.00,-0.00,0.00
0.098329,0.00,-0.00,0.00
0.101424,0.01,-0.00,0.00
0.103104,0.00,-0.00,0.00
0.105646,0.00,-0.00,0.00
0.107961,0.00,-0.00,0.00
0.110326,0.00,-0.00,0.00
0.113724,0.00,0.00,0.00
0.116756,0.00,0.00,0.00
0.118212,0.00,0.00,0.00
0.120414,-0.00,0.00,0.01
0.124677,0.00,0.00,0.00
0.126750,-0.00,0.00,0.00
0.128328,0.00,0.00,0.01
0.129585,0.00,0.00,0.00
0.132358,-0.00,0.00,0.01
0.136383,-0.01,0.01,0.01
0.138104,-0.00,0.01,0.00
0.142946,0.00,0.00,0.00
0.143537,-0.00,0.00,0.00
0.144100,0.00,0.00,0.00
0.148701,0.00,0.00,0.00
0.150817,-0.00,0.00,0.00
0.152764,-0.00,0.00,0.00
0.155149,-0.01,0.00,0.00
0.156927,-0.00,0.00,0.00
0.160401,-0.00,0.00,-0.00
0.164265,-0.00,0.00,0.00
0.164419,-0.00,0.00,-0.00
0.167467,-0.00,0.00,-0.00
0.169926,-0.00,0.00,-0.00
0.172658,-0.00,0.00,-0.00
0.176091,-0.00,0.00,0.00
0.176954,-0.00,0.00,0.00
0.184810,-0.01,0.01,-0.00
0.185185,-0.00,0.00,-0.00
0.185672,-0.00,0.00,-0.00
0.188125,-0.00,0.01,0.00
0.189192,-0.01,0.01,0.00
0.192335,0.00,0.01,-0.00
0.194483,-0.00,0.01,-0.00
0.198733,-0.00,0.01,0.00
0.200349,-0.00,0.00,0.00
0.202033,-0.00,0.01,0.00
0.204569,0.00,0.01,0.00
0.209031,0.00,0.01,0.00
0.211020,0.00,0.01,0.00
0.212534,0.00,0.01,0.00
0.213625,0.00,0.01,0.00
0.217185,0.00,0.01,0.00
0.219757,0.00,0.01,0.00
0.222688,0.00,0.01,0.00
0.225065,0.00,0.01,0.00
0.227999,0.01,0.01,0.00
0.228222,0.01,0.01,0.00
0.233167,0.00,0.01,0.00
0.235296,0.00,0.00,0.00
0.237116,0.00,0.00,0.00
0.239317,0.00,0.00,-0.00
0.243121,0.00,0.00,0.00
0.245481,0.00,0.00,0.00
0.247186,0.00,0.00,0.00
0.248540,0.00,0.01,0.00
0.252651,0.00,0.01,0.00
0.252886,0.00,0.01,0.00
0.258302,0.00,0.01,0.00
0.259915,0.00,0.01,0.00
0.260671,0.00,0.01,0.00
0.263629,0.01,0.01,0.00
0.266127,0.00,0.01,0.00
0.270105,0.00,0.01,0.00
0.272182,0.00,0.01,0.00
0.274827,0.00,0.01,0.00
0.277831,0.01,0.01,0.01
0.278796,0.01,0.01,0.01
0.282133,0.01,0.01,0.01
0.285136,0.01,0.02,0.01
0.285348,0.01,0.01,0.01
0.288302,0.01,0.02,0.01
0.290993,0.01,0.02,0.01
0.294651,0.01,0.02,0.01
0.296824,0.01,0.02,0.01
0.297814,0.01,0.02,0.01
0.300877,0.01,0.02,0.01
0.304016,0.01,0.02,0.01
0.317253,0.01,0.02,0.01
0.317994,0.01,0.02,0.01
0.318376,0.01,0.02,0.01
0.318670,0.01,0.02,0.01
0.318976,0.01,0.01,0.01
0.319246,0.01,0.01,0.01
0.320033,0.01,0.01,0.01
0.324765,0.00,0.01,0.01
0.325185,0.00,0.01,0.00
0.328471,0.00,0.01,0.00
0.331383,0.00,0.01,0.00
0.332206,0.01,0.01,0.01
0.334326,0.01,0.01,0.00
0.337218,0.00,0.01,0.01
0.344492,0.01,0.01,0.00
0.345254,0.00,0.01,0.01
0.345566,0.01,0.01,0.01
0.347016,0.00,0.02,0.01
0.350188,0.00,0.02,0.00
0.353610,0.00,0.02,0.00
0.356177,0.01,0.02,0.00
0.356371,0.00,0.02,0.00
0.360662,0.01,0.02,0.01
0.362046,0.01,0.02,0.01
0.366820,0.01,0.02,0.01
0.368924,0.01,0.02,0.01
0.369125,0.01,0.02,0.00
0.372076,0.01,0.02,0.01
0.374307,0.01,0.02,0.00
0.378312,0.01,0.02,0.01
0.380308,0.01,0.02,0.00
0.381706,0.01,0.02,0.01
0.384576,0.01,0.02,0.01
0.387794,0.01,0.02,0.01
0.391934,0.00,0.02,0.01
0.392393,0.01,0.02,0.00
0.394018,0.01,0.02,0.00
0.396669,0.01,0.02,0.01
0.401250,0.01,0.02,0.01
0.403387,0.01,0.02,0.01
0.412775,0.01,0.02,0.01
0.413605,0.01,0.02,0.00
0.413895,0.01,0.02,0.00
0.414159,0.01,0.02,0.00
0.416040,0.01,0.02,0.00
0.416269,0.00,0.02,0.00
0.419472,0.00,0.01,0.00
0.421576,0.01,0.01,0.00
0.426456,0.01,0.01,0.00
0.428016,0.00,0.01,0.00
0.428275,0.00,0.00,0.00
0.432467,0.00,0.00,0.00
0.434521,0.01,-0.00,0.00
0.438321,0.00,-0.00,0.00
0.443444,0.00,0.00,0.00
0.444138,0.00,0.00,0.00
0.451420,0.00,0.00,0.00
0.451834,0.00,0.00,0.00
0.451995,0.00,0.00,0.00
0.452134,0.00,0.00,0.00
0.453153,-0.00,0.01,0.00
0.455534,0.01,0.00,0.00
0.466752,0.01,0.00,0.00
0.467562,0.00,0.01,0.00
0.467725,0.01,0.01,0.00
0.467906,-0.00,0.01,0.00
0.469417,0.00,0.01,0.00
0.470421,0.00,0.01,0.00
0.474213,-0.00,0.01,0.00
0.475990,-0.00,0.01,0.00
0.477623,0.00,0.01,0.00
0.480329,-0.00,0.01,0.00
0.484863,-0.00,0.01,0.00
0.485941,-0.00,0.02,-0.00
0.488154,-0.00,0.02,-0.00
0.491144,-0.00,0.02,-0.00
0.492968,-0.00,0.01,-0.00
0.496001,-0.01,0.01,-0.00
0.498182,-0.01,0.01,-0.00
0.500025,-0.01,0.01,-0.00
0.502018,-0.00,0.01,-0.00
0.504491,-0.00,0.02,-0.00
0.508341,-0.00,0.03,0.00
0.510467,-0.01,0.04,-0.00
0.512244,-0.00,0.05,-0.00
0.514688,-0.01,0.05,-0.00
0.517211,-0.01,0.05,-0.00
0.520663,-0.00,0.04,-0.00
0.524353,-0.00,0.03,0.00
0.524958,-0.00,0.02,0.00
0.527470,0.00,0.02,0.00
0.529507,0.00,0.02,0.00
0.533383,-0.00,0.01,0.00
0.535910,0.00,0.02,0.00
0.537605,-0.00,0.02,0.00
0.540974,-0.00,0.02,0.00
0.542120,-0.00,0.02,0.00
0.545731,-0.00,0.02,0.00
0.548154,-0.00,0.02,0.00
0.549328,-0.00,0.02,0.00
0.552302,-0.00,0.02,0.00
0.554210,-0.00,0.02,0.00
0.558458,-0.00,0.02,0.00
0.560209,-0.01,0.03,0.00
0.562123,-0.00,0.02,0.00
0.564440,-0.00,0.03,0.00
0.566505,-0.00,0.03,0.00
0.570529,-0.00,0.03,0.00
0.579856,-0.00,0.03,0.00
0.580731,-0.00,0.03,0.00
0.581179,0.00,0.03,0.00
0.581808,-0.00,0.03,0.00
0.583140,-0.00,0.03,0.00
0.584415,-0.00,0.03,0.00
0.586261,0.00,0.03,0.00
0.588785,0.00,0.03,0.00
0.599261,0.00,0.03,0.00
0.600391,-0.00,0.03,0.00
0.600785,0.00,0.03,-0.00
0.601097,0.00,0.03,-0.00
0.601406,0.00,0.03,-0.00
0.604719,0.00,0.03,-0.00
0.611343,0.00,0.02,-0.00
0.612061,-0.00,0.02,-0.00
0.612404,-0.00,0.02,-0.00
0.613278,0.00,0.02,-0.00
0.617279,0.00,0.02,-0.00
0.619933,0.00,0.01,-0.00
0.620780,0.00,0.01,-0.00
