time,gFx,gFy,gFz,TgF
0.006537,0.2790,0.9667,0.2798,1.044
0.007075,0.2746,0.9667,0.2791,1.043
0.007316,0.2742,0.9645,0.2791,1.041
0.007562,0.2690,0.9618,0.2793,1.037
0.007795,0.2698,0.9620,0.2771,1.037
0.008030,0.2678,0.9598,0.2752,1.034
0.008262,0.2656,0.9579,0.2737,1.031
0.008497,0.2639,0.9574,0.2744,1.030
0.013168,0.2646,0.9567,0.2730,1.029
0.013484,0.2641,0.9532,0.2722,1.026
0.015451,0.2619,0.9532,0.2710,1.025
0.028413,0.2619,0.9532,0.2703,1.025
0.029066,0.2607,0.9537,0.2669,1.024
0.029282,0.2624,0.9530,0.2686,1.024
0.029531,0.2617,0.9518,0.2696,1.023
0.029746,0.2624,0.9537,0.2722,1.026
0.030049,0.2575,0.9545,0.2740,1.026
0.032273,0.2590,0.9554,0.2769,1.028
0.035675,0.2592,0.9601,0.2774,1.032
0.037620,0.2592,0.9603,0.2764,1.032
0.039906,0.2607,0.9620,0.2740,1.034
0.042499,0.2605,0.9655,0.2762,1.037
0.044899,0.2605,0.9674,0.2752,1.039
0.047605,0.2614,0.9684,0.2747,1.040
0.050099,0.2688,0.9694,0.2744,1.043
0.053729,0.3076,0.9796,0.2762,1.063
0.054892,0.2869,0.9662,0.2786,1.046
0.057434,0.2487,0.9508,0.2774,1.021
0.060196,0.2375,0.9525,0.2769,1.020
0.062748,0.2446,0.9625,0.2788,1.032
0.064864,0.2529,0.9677,0.2830,1.039
0.066988,0.2553,0.9667,0.2859,1.040
0.070812,0.2553,0.9650,0.2869,1.039
0.072526,0.2551,0.9640,0.2884,1.038
0.074952,0.2553,0.9633,0.2874,1.037
0.077224,0.2578,0.9640,0.2911,1.039
0.079770,0.2597,0.9615,0.2879,1.037
0.082027,0.2597,0.9628,0.2884,1.038
0.087099,0.2597,0.9576,0.2879,1.033
0.087689,0.2590,0.9589,0.2886,1.034
0.090295,0.2607,0.9586,0.2886,1.035
0.092213,0.2607,0.9584,0.2886,1.034
0.094454,0.2632,0.9591,0.2876,1.035
0.096700,0.2583,0.9571,0.2893,1.033
0.099845,0.2575,0.9593,0.2898,1.035
0.105096,0.2549,0.9591,0.2913,1.034
0.105723,0.2563,0.9559,0.2903,1.031
0.106703,0.2546,0.9579,0.2923,1.033
0.109735,0.2546,0.9562,0.2893,1.031
0.111503,0.2531,0.9562,0.2889,1.030
0.114076,0.2541,0.9554,0.2889,1.030
0.116484,0.2546,0.9540,0.2896,1.029
0.120566,0.2563,0.9542,0.2920,1.030
0.121895,0.2546,0.9527,0.2925,1.029
0.124478,0.2527,0.9547,0.2969,1.031
0.126803,0.2527,0.9545,0.2952,1.031
0.129628,0.2519,0.9542,0.2969,1.031
0.131696,0.2514,0.9549,0.2989,1.032
0.134146,0.2531,0.9586,0.2989,1.036
0.145467,0.2553,0.9603,0.2998,1.038
0.146411,0.2549,0.9640,0.3047,1.043
0.146935,0.2551,0.9657,0.3069,1.045
0.147426,0.2549,0.9681,0.3113,1.048
0.148030,0.2546,0.9740,0.3130,1.054
0.149226,0.2524,0.9755,0.3182,1.057
0.151339,0.2527,0.9779,0.3216,1.060
0.155408,0.2534,0.9782,0.3231,1.061
0.156015,0.2551,0.9794,0.3260,1.063
0.158974,0.2534,0.9808,0.3255,1.064
0.160955,0.2578,0.9852,0.3267,1.070
0.163879,0.2573,0.9843,0.3272,1.069
0.166168,0.2575,0.9838,0.3272,1.068
0.170696,0.2578,0.9830,0.3287,1.068
0.171401,0.2566,0.9843,0.3272,1.068
0.173082,0.2597,0.9843,0.3284,1.070
0.176334,0.2617,0.9833,0.3294,1.070
0.178155,0.2619,0.9835,0.3287,1.070
0.180540,0.2607,0.9833,0.3279,1.069
0.183795,0.2629,0.9833,0.3292,1.070
0.189202,0.2605,0.9835,0.3292,1.069
0.189926,0.2617,0.9816,0.3319,1.069
0.190616,0.2588,0.9826,0.3323,1.069
0.193397,0.2573,0.9811,0.3360,1.068
0.195633,0.2549,0.9804,0.3358,1.067
0.198228,0.2539,0.9826,0.3345,1.069
0.201000,0.2527,0.9811,0.3350,1.067
0.204935,0.2522,0.9823,0.3360,1.068
0.205719,0.2524,0.9801,0.3392,1.067
0.207809,0.2473,0.9811,0.3392,1.067
0.210226,0.2461,0.9794,0.3382,1.065
0.213118,0.2421,0.9767,0.3399,1.062
0.215288,0.2412,0.9774,0.3404,1.063
0.221337,0.2395,0.9779,0.3404,1.063
0.222156,0.2370,0.9777,0.3399,1.062
0.222664,0.2375,0.9764,0.3377,1.060
0.225145,0.2348,0.9772,0.3387,1.061
0.227545,0.2297,0.9745,0.3372,1.056
0.229954,0.2275,0.9738,0.3380,1.056
0.232325,0.2241,0.9720,0.3372,1.053
0.244320,0.2250,0.9742,0.3392,1.056
0.245896,0.2221,0.9720,0.3375,1.053
0.246427,0.2214,0.9698,0.3387,1.051
0.247048,0.2189,0.9708,0.3384,1.051
0.247547,0.2204,0.9689,0.3389,1.050
0.248230,0.2187,0.9679,0.3411,1.049
0.251204,0.2187,0.9677,0.3438,1.050
0.254846,0.2170,0.9657,0.3448,1.048
0.255413,0.2177,0.9684,0.3482,1.052
0.257060,0.2202,0.9669,0.3470,1.051
0.260202,0.2228,0.9689,0.3512,1.054
0.262022,0.2231,0.9677,0.3516,1.053
0.264302,0.2238,0.9642,0.3551,1.052
0.266835,0.2250,0.9628,0.3604,1.052
0.271336,0.2277,0.9633,0.3619,1.054
0.271812,0.2275,0.9613,0.3629,1.052
0.274469,0.2302,0.9611,0.3678,1.054
0.276552,0.2336,0.9601,0.3697,1.055
0.278931,0.2387,0.9611,0.3734,1.058
0.281456,0.2417,0.9540,0.3766,1.054
0.283806,0.2470,0.9525,0.3773,1.054
0.287293,0.2490,0.9496,0.3788,1.052
0.289191,0.2502,0.9452,0.3792,1.049
0.291785,0.2495,0.9410,0.3824,1.046
0.293777,0.2502,0.9354,0.3880,1.043
0.296227,0.2522,0.9352,0.3905,1.044
0.299090,0.2527,0.9305,0.3919,1.041
0.304497,0.2534,0.9276,0.3944,1.039
0.305138,0.2561,0.9239,0.3976,1.038
0.306344,0.2544,0.9200,0.4000,1.035
0.309690,0.2563,0.9171,0.4003,1.033
0.312053,0.2551,0.9137,0.4025,1.030
0.313696,0.2522,0.9107,0.4061,1.029
0.316084,0.2546,0.9058,0.4117,1.027
0.321292,0.2541,0.9002,0.4176,1.024
0.321982,0.2561,0.8975,0.4254,1.026
0.324243,0.2566,0.8949,0.4286,1.025
0.325962,0.2561,0.8914,0.4337,1.024
0.328451,0.2583,0.8897,0.4393,1.025
0.331082,0.2612,0.8865,0.4428,1.025
0.333544,0.2651,0.8853,0.4406,1.024
0.337518,0.2715,0.8878,0.4386,1.027
0.338234,0.2751,0.8848,0.4406,1.026
0.340862,0.2820,0.8873,0.4393,1.029
0.343283,0.2864,0.8909,0.4389,1.034
0.345721,0.2920,0.8941,0.4433,1.040
0.349041,0.2959,0.8980,0.4476,1.046
0.351045,0.2998,0.9007,0.4530,1.052
0.361966,0.3042,0.9080,0.4599,1.062
0.362930,0.3064,0.9115,0.4679,1.069
0.363432,0.3103,0.9144,0.4713,1.075
0.363919,0.3145,0.9185,0.4748,1.081
0.364402,0.3142,0.9195,0.4745,1.081
0.365501,0.3191,0.9215,0.4723,1.084
0.370261,0.3213,0.9229,0.4672,1.083
0.370832,0.3223,0.9269,0.4647,1.086
0.374774,0.3247,0.9261,0.4594,1.084
0.375168,0.3299,0.9254,0.4582,1.084
0.377816,0.3328,0.9256,0.4577,1.085
0.379826,0.3401,0.9239,0.4562,1.085
0.382414,0.3435,0.9212,0.4557,1.084
0.386557,0.3435,0.9188,0.4523,1.080
0.387759,0.3479,0.9156,0.4513,1.078
0.389900,0.3448,0.9110,0.4481,1.072
0.392389,0.3430,0.9098,0.4447,1.069
0.395122,0.3391,0.9066,0.4420,1.064
0.397309,0.3367,0.9056,0.4323,1.058
0.400008,0.3289,0.9041,0.4288,1.053
0.404554,0.3237,0.9063,0.4220,1.051
0.405877,0.3228,0.9056,0.4127,1.046
0.407396,0.3367,0.9090,0.3951,1.047
0.410697,0.3340,0.9061,0.3839,1.039
0.412182,0.3147,0.9034,0.3800,1.029
0.416161,0.2983,0.9022,0.3841,1.025
0.417626,0.2888,0.9036,0.3812,1.022
0.421098,0.2785,0.9063,0.3912,1.026
0.423553,0.2763,0.9112,0.3861,1.027
0.424480,0.2724,0.9137,0.3858,1.029
0.427248,0.2693,0.9159,0.3873,1.030
0.429871,0.2668,0.9188,0.3836,1.031
0.432564,0.2607,0.9222,0.3778,1.030
0.436841,0.2524,0.9200,0.3829,1.028
0.438031,0.2441,0.9183,0.3819,1.024
0.439766,0.2380,0.9102,0.3824,1.016
0.442162,0.2316,0.9036,0.3790,1.007
0.444679,0.2202,0.8949,0.3805,0.997
0.447194,0.2101,0.8846,0.3861,0.988
0.449882,0.2016,0.8729,0.3924,0.978
0.459912,0.1950,0.8670,0.3910,0.971
0.461131,0.1904,0.8580,0.3941,0.963
0.461660,0.1857,0.8511,0.3978,0.958
0.462171,0.1818,0.8426,0.3941,0.948
0.462666,0.1818,0.8382,0.3924,0.943
0.464612,0.1813,0.8345,0.3905,0.939
0.466720,0.1828,0.8294,0.3915,0.935
0.474153,0.1838,0.8257,0.3937,0.933
0.475069,0.1886,0.8247,0.3890,0.931
0.475355,0.1930,0.8264,0.3900,0.934
0.476099,0.1940,0.8245,0.3900,0.932
0.478916,0.2004,0.8235,0.3932,0.934
0.481598,0.2092,0.8238,0.3917,0.936
0.483518,0.2170,0.8250,0.3949,0.940
0.487385,0.2204,0.8289,0.3897,0.942
0.488367,0.2294,0.8289,0.3912,0.945
0.491025,0.2341,0.8308,0.3946,0.949
0.493523,0.2356,0.8301,0.3932,0.948
0.496666,0.2446,0.8345,0.3939,0.955
0.498497,0.2487,0.8392,0.3922,0.959
0.503630,0.2558,0.8457,0.3922,0.967
0.504316,0.2578,0.8521,0.3880,0.971
0.506559,0.2600,0.8572,0.3856,0.975
0.508414,0.2649,0.8628,0.3866,0.982
0.510778,0.2693,0.8628,0.3880,0.984
0.513124,0.2773,0.8677,0.3805,0.987
0.516100,0.2822,0.8753,0.3802,0.995
0.520489,0.2851,0.8765,0.3807,0.997
0.521384,0.2859,0.8824,0.3768,1.001
0.523927,0.2937,0.8905,0.3751,1.010
0.526087,0.2993,0.8909,0.3695,1.010
0.528122,0.2988,0.8951,0.3687,1.013
