time,wx (rad/s),wy (rad/s),wz (rad/s)
0.008714,-0.04,-0.02,0.01
0.009145,-0.04,-0.02,0.01
0.009280,-0.04,-0.02,0.02
0.009411,-0.04,-0.02,0.02
0.009536,-0.04,-0.02,0.02
0.009682,-0.03,-0.02,0.02
0.009803,-0.03,-0.02,0.02
0.009926,-0.03,-0.02,0.02
0.010048,-0.03,-0.02,0.02
0.017567,-0.03,-0.02,0.03
0.018145,-0.02,-0.02,0.03
0.018281,-0.02,-0.01,0.03
0.020267,-0.02,-0.01,0.03
0.021307,-0.02,-0.01,0.03
0.027395,-0.02,0.00,0.03
0.028095,-0.01,0.01,0.03
0.028512,-0.01,0.02,0.03
0.031017,-0.01,0.02,0.03
0.033465,-0.01,0.03,0.03
0.047130,-0.01,0.04,0.03
0.047550,-0.01,0.04,0.03
0.047647,-0.01,0.05,0.03
0.047734,-0.02,0.06,0.03
0.047826,-0.02,0.06,0.02
0.050433,-0.03,0.07,0.02
0.051806,-0.03,0.08,0.02
0.053985,-0.04,0.08,0.02
0.056570,-0.04,0.09,0.02
0.058820,-0.05,0.10,0.02
0.062862,-0.05,0.11,0.01
0.065365,-0.06,0.12,0.01
0.065546,-0.07,0.12,0.01
0.068812,-0.07,0.13,0.01
0.072017,-0.07,0.13,0.00
0.075863,-0.07,0.13,0.00
0.076984,-0.07,0.14,0.00
0.078661,-0.07,0.14,0.00
0.080950,-0.07,0.15,0.00
0.085770,-0.07,0.15,0.00
0.088051,-0.07,0.15,0.00
0.089243,-0.08,0.15,0.00
0.090854,-0.08,0.15,0.00
0.093220,-0.08,0.15,0.01
0.098809,-0.08,0.15,0.01
0.099014,-0.08,0.14,0.01
0.102112,-0.09,0.14,0.01
0.112159,-0.08,0.14,0.01
0.112750,-0.09,0.13,0.02
0.112995,-0.08,0.12,0.02
0.113195,-0.08,0.12,0.02
0.113398,-0.08,0.11,0.02
0.115611,-0.07,0.11,0.02
0.117641,-0.07,0.10,0.02
0.122397,-0.07,0.10,0.02
0.129177,-0.07,0.10,0.02
0.129516,-0.07,0.10,0.03
0.129603,-0.07,0.10,0.03
0.129812,-0.07,0.10,0.03
0.134577,-0.07,0.11,0.03
0.141381,-0.07,0.11,0.02
0.141791,-0.07,0.11,0.02
0.141873,-0.07,0.12,0.02
0.142631,-0.07,0.12,0.02
0.146786,-0.07,0.12,0.02
0.149021,-0.07,0.12,0.01
0.150618,-0.07,0.13,0.01
0.154617,-0.06,0.13,0.01
0.155531,-0.05,0.13,-0.00
0.158321,-0.05,0.13,-0.00
0.161580,-0.04,0.13,-0.01
0.162815,-0.03,0.13,-0.02
0.165222,-0.03,0.13,-0.02
0.169088,-0.02,0.12,-0.03
0.171959,-0.02,0.12,-0.04
0.172222,-0.01,0.12,-0.05
0.175189,-0.01,0.11,-0.06
0.177199,-0.00,0.11,-0.06
0.182410,0.00,0.11,-0.07
0.182702,0.00,0.10,-0.08
0.184992,0.00,0.10,-0.09
0.187262,0.01,0.09,-0.10
0.189653,0.01,0.09,-0.11
0.193901,0.02,0.08,-0.12
0.196129,0.02,0.08,-0.13
0.197845,0.02,0.07,-0.14
0.199871,0.03,0.07,-0.15
0.202108,0.03,0.07,-0.16
0.211619,0.03,0.07,-0.17
0.212089,0.04,0.06,-0.18
0.212262,0.04,0.06,-0.18
0.212393,0.04,0.06,-0.19
0.214792,0.04,0.06,-0.20
0.218589,0.05,0.06,-0.20
0.221104,0.05,0.06,-0.21
0.221401,0.06,0.06,-0.22
0.224256,0.07,0.05,-0.23
0.226614,0.08,0.05,-0.23
0.230519,0.08,0.05,-0.23
0.235079,0.09,0.05,-0.24
0.235462,0.10,0.04,-0.24
0.244740,0.10,0.04,-0.24
0.245164,0.11,0.04,-0.24
0.245323,0.12,0.03,-0.24
0.245481,0.12,0.02,-0.24
0.246481,0.13,0.02,-0.24
0.248688,0.14,0.01,-0.23
0.252751,0.15,-0.00,-0.22
0.255428,0.15,-0.01,-0.22
0.256746,0.16,-0.02,-0.21
0.259098,0.16,-0.03,-0.20
0.262598,0.17,-0.05,-0.19
0.265163,0.18,-0.06,-0.18
0.268872,0.19,-0.08,-0.17
0.269084,0.19,-0.09,-0.15
0.272510,0.19,-0.10,-0.14
0.274360,0.20,-0.11,-0.13
0.278152,0.20,-0.13,-0.12
0.279615,0.21,-0.14,-0.11
0.281385,0.21,-0.15,-0.09
0.283497,0.21,-0.16,-0.08
0.287657,0.21,-0.17,-0.07
0.289895,0.22,-0.18,-0.06
0.294220,0.22,-0.18,-0.06
0.294478,0.23,-0.19,-0.05
0.296276,0.23,-0.19,-0.04
0.298872,0.23,-0.18,-0.04
0.302738,0.23,-0.19,-0.03
0.304411,0.24,-0.19,-0.02
0.305590,0.24,-0.18,-0.02
0.308034,0.24,-0.18,-0.01
0.310603,0.24,-0.18,-0.01
0.315127,0.24,-0.17,-0.01
0.317402,0.24,-0.17,-0.00
0.317625,0.24,-0.17,0.01
0.322181,0.24,-0.16,0.01
0.323564,0.23,-0.16,0.02
0.327355,0.23,-0.15,0.02
0.328469,0.23,-0.15,0.03
0.330818,0.23,-0.15,0.03
0.333125,0.22,-0.14,0.04
0.335802,0.22,-0.14,0.05
0.339438,0.22,-0.14,0.05
0.340984,0.22,-0.14,0.06
0.341960,0.21,-0.14,0.06
0.344891,0.21,-0.14,0.07
0.348339,0.21,-0.14,0.07
0.350931,0.21,-0.14,0.07
0.362311,0.21,-0.14,0.08
0.363371,0.21,-0.14,0.08
0.363706,0.21,-0.14,0.09
0.364297,0.22,-0.14,0.09
0.364647,0.22,-0.14,0.09
0.365153,0.22,-0.14,0.09
0.366837,0.23,-0.14,0.10
0.371592,0.23,-0.14,0.10
0.373752,0.24,-0.14,0.10
0.375013,0.24,-0.13,0.10
0.376759,0.24,-0.13,0.10
0.379976,0.24,-0.13,0.10
0.382775,0.24,-0.12,0.10
0.394985,0.25,-0.12,0.10
0.395727,0.25,-0.11,0.10
0.395889,0.25,-0.11,0.10
0.396059,0.25,-0.10,0.09
0.396214,0.25,-0.10,0.09
0.398776,0.25,-0.09,0.09
0.402164,0.25,-0.08,0.09
0.402401,0.25,-0.08,0.09
0.405039,0.26,-0.07,0.08
0.407383,0.26,-0.07,0.08
0.411117,0.26,-0.06,0.08
0.412371,0.26,-0.06,0.07
0.414659,0.26,-0.06,0.07
0.417123,0.26,-0.06,0.06
0.419360,0.26,-0.06,0.06
0.424862,0.26,-0.06,0.05
0.425379,0.26,-0.06,0.04
0.426651,0.26,-0.07,0.03
0.429920,0.25,-0.07,0.03
0.432853,0.25,-0.07,0.02
0.436563,0.24,-0.07,0.01
0.438202,0.23,-0.07,0.00
0.439506,0.22,-0.06,-0.01
0.441539,0.22,-0.06,-0.02
0.445274,0.22,-0.06,-0.02
0.447589,0.22,-0.05,-0.03
0.450490,0.22,-0.05,-0.03
0.452154,0.22,-0.05,-0.04
0.455382,0.23,-0.06,-0.04
0.459501,0.24,-0.06,-0.04
0.459752,0.25,-0.07,-0.04
0.461768,0.27,-0.09,-0.04
0.464441,0.28,-0.10,-0.04
0.466804,0.30,-0.11,-0.04
0.474511,0.32,-0.13,-0.05
0.475041,0.34,-0.14,-0.05
0.475240,0.36,-0.16,-0.05
0.475460,0.38,-0.17,-0.05
0.478566,0.40,-0.18,-0.06
0.482704,0.42,-0.19,-0.06
0.483793,0.44,-0.20,-0.07
0.492613,0.46,-0.20,-0.07
0.493336,0.48,-0.21,-0.07
0.493504,0.49,-0.21,-0.08
0.494482,0.50,-0.22,-0.08
0.497211,0.50,-0.22,-0.09
0.498573,0.51,-0.23,-0.09
0.500868,0.51,-0.24,-0.09
0.504141,0.51,-0.26,-0.10
0.507005,0.50,-0.27,-0.10
0.509160,0.50,-0.28,-0.11
0.510323,0.50,-0.30,-0.11
0.513538,0.50,-0.32,-0.12
0.515851,0.51,-0.35,-0.12
0.519785,0.52,-0.37,-0.12
0.523030,0.53,-0.40,-0.12
0.523487,0.54,-0.41,-0.12
0.526119,0.55,-0.43,-0.12
0.528986,0.56,-0.44,-0.12
0.532740,0.58,-0.45,-0.12
0.533579,0.58,-0.46,-0.11
0.535910,0.59,-0.46,-0.11
0.537442,0.60,-0.47,-0.10
0.542155,0.61,-0.49,-0.10
0.545593,0.61,-0.50,-0.09
0.545832,0.62,-0.51,-0.09
0.548313,0.63,-0.52,-0.09
0.550557,0.63,-0.53,-0.08
0.555353,0.65,-0.55,-0.04
0.555881,0.68,-0.56,0.02
0.557599,0.70,-0.57,0.07
0.560567,0.72,-0.57,0.11
0.562883,0.72,-0.57,0.12
0.567105,0.72,-0.55,0.10
0.569295,0.71,-0.53,0.07
0.571954,0.69,-0.51,0.03
0.572463,0.67,-0.50,-0.02
0.575704,0.64,-0.49,-0.07
0.579842,0.61,-0.49,-0.11
0.581566,0.58,-0.49,-0.15
0.581795,0.55,-0.49,-0.18
0.585208,0.52,-0.50,-0.20
0.587272,0.50,-0.50,-0.21
0.591414,0.48,-0.51,-0.21
0.593170,0.47,-0.51,-0.21
0.594921,0.45,-0.51,-0.21
0.596785,0.44,-0.52,-0.21
0.599174,0.44,-0.52,-0.21
0.604197,0.43,-0.52,-0.21
0.604923,0.42,-0.52,-0.21
0.606388,0.41,-0.52,-0.20
0.609280,0.41,-0.52,-0.20
0.612471,0.40,-0.52,-0.19
0.615382,0.41,-0.51,-0.19
0.616793,0.40,-0.52,-0.18
0.620079,0.40,-0.52,-0.17
0.621671,0.39,-0.53,-0.15
0.625593,0.39,-0.54,-0.14
0.629600,0.38,-0.54,-0.14
0.630036,0.38,-0.54,-0.13
0.631993,0.37,-0.55,-0.12
0.635114,0.37,-0.56,-0.11
0.645747,0.37,-0.58,-0.09
0.646622,0.36,-0.60,-0.08
0.647110,0.35,-0.62,-0.07
0.647486,0.35,-0.63,-0.06
0.647768,0.34,-0.65,-0.04
0.650032,0.33,-0.66,-0.03
0.662135,0.33,-0.68,-0.02
0.663041,0.33,-0.70,-0.01
0.663249,0.33,-0.72,0.00
0.663441,0.34,-0.73,0.01
0.663627,0.35,-0.75,0.02
0.665363,0.36,-0.77,0.03
0.665776,0.36,-0.79,0.04
0.667794,0.37,-0.80,0.04
0.672685,0.37,-0.81,0.05
0.674264,0.38,-0.82,0.05
0.676762,0.38,-0.83,0.06
0.677677,0.39,-0.84,0.06
0.680130,0.39,-0.85,0.07
0.682876,0.40,-0.85,0.07
0.690463,0.40,-0.85,0.07
0.691230,0.40,-0.85,0.07
0.691564,0.40,-0.86,0.07
0.693160,0.40,-0.85,0.06
0.695451,0.41,-0.85,0.06
0.700143,0.41,-0.84,0.06
0.701756,0.41,-0.83,0.05
0.705019,0.41,-0.82,0.05
0.705841,0.41,-0.81,0.04
0.708976,0.41,-0.79,0.03
0.710813,0.41,-0.78,0.03
0.712432,0.41,-0.77,0.02
0.715055,0.41,-0.75,0.02
0.717815,0.40,-0.74,0.01
0.721784,0.40,-0.73,0.01
0.724833,0.39,-0.72,0.00
0.725280,0.39,-0.71,-0.00
0.727515,0.38,-0.71,-0.01
0.729819,0.38,-0.70,-0.01
0.734458,0.37,-0.70,-0.02
0.735239,0.36,-0.69,-0.03
0.738359,0.35,-0.70,-0.03
0.740208,0.35,-0.70,-0.04
0.742139,0.34,-0.71,-0.04
0.746543,0.33,-0.72,-0.05
0.748911,0.32,-0.73,-0.05
0.750361,0.31,-0.74,-0.06
0.754962,0.30,-0.75,-0.06
0.756017,0.29,-0.77,-0.06
0.758143,0.29,-0.78,-0.06
0.761170,0.29,-0.79,-0.06
0.761756,0.29,-0.80,-0.06
0.764322,0.29,-0.82,-0.06
0.766763,0.29,-0.83,-0.06
0.778805,0.30,-0.84,-0.06
0.779750,0.30,-0.85,-0.05
0.780125,0.30,-0.87,-0.05
0.780492,0.30,-0.89,-0.05
0.782275,0.30,-0.90,-0.05
0.783347,0.30,-0.91,-0.05
0.785179,0.31,-0.93,-0.05
0.797916,0.31,-0.94,-0.06
0.799303,0.30,-0.94,-0.06
0.799539,0.31,-0.95,-0.07
0.799730,0.31,-0.96,-0.07
0.799908,0.31,-0.97,-0.08
0.800097,0.31,-0.97,-0.09
0.800911,0.33,-0.97,-0.09
0.804502,0.33,-0.97,-0.10
0.808779,0.33,-0.97,-0.11
0.809156,0.34,-0.97,-0.11
0.811348,0.34,-0.96,-0.11
0.813695,0.34,-0.95,-0.11
0.816277,0.34,-0.95,-0.12
0.821110,0.35,-0.94,-0.11
0.823235,0.35,-0.93,-0.12
0.824366,0.35,-0.92,-0.12
0.826030,0.35,-0.90,-0.12
0.830071,0.36,-0.89,-0.12
0.832395,0.36,-0.87,-0.12
0.833994,0.36,-0.86,-0.12
0.838113,0.36,-0.85,-0.13
0.839004,0.36,-0.84,-0.13
0.842832,0.35,-0.82,-0.14
0.844886,0.36,-0.81,-0.14
0.845880,0.35,-0.80,-0.14
0.849364,0.35,-0.79,-0.14
0.851735,0.35,-0.79,-0.15
0.855896,0.34,-0.78,-0.16
0.857989,0.35,-0.77,-0.18
0.858591,0.35,-0.76,-0.19
0.861856,0.35,-0.74,-0.20
0.864102,0.34,-0.73,-0.21
0.868075,0.34,-0.72,-0.21
0.873720,0.34,-0.71,-0.22
0.874243,0.34,-0.70,-0.22
0.874432,0.34,-0.69,-0.22
0.875765,0.34,-0.69,-0.23
0.878281,0.35,-0.68,-0.23
0.884874,0.34,-0.68,-0.23
0.885129,0.34,-0.68,-0.23
0.885283,0.33,-0.68,-0.24
0.895654,0.33,-0.69,-0.24
0.896357,0.32,-0.69,-0.24
0.896539,0.31,-0.69,-0.24
0.896702,0.30,-0.70,-0.24
0.897652,0.30,-0.71,-0.25
0.902506,0.29,-0.72,-0.25
0.904746,0.28,-0.73,-0.25
0.906647,0.28,-0.74,-0.25
0.907723,0.27,-0.75,-0.26
0.910288,0.27,-0.76,-0.26
0.915617,0.27,-0.78,-0.27
